Vtrain Vperm VSBI Vtarget Vrel Dtarget Mode Supervision1 Supervision2 
0 140 160 Null Null Null FS CSM NoS
3 140 160 Null Null Null FS CSM NoS
6 140 160 Null Null Null FS CSM NoS
9 140 160 Null Null Null FS CSM NoS
12 140 160 Null Null Null FS CSM NoS
15 140 160 Null Null Null FS CSM NoS
18 140 160 Null Null Null FS CSM NoS
21 140 160 Null Null Null FS CSM NoS
24 140 160 Null Null Null FS CSM NoS
27 140 160 Null Null Null FS CSM NoS
30 140 160 Null Null Null FS CSM NoS
33 140 160 Null Null Null FS CSM NoS
36 140 160 Null Null Null FS CSM NoS
39 140 160 Null Null Null FS CSM NoS
42 140 160 Null Null Null FS CSM NoS
45 140 160 Null Null Null FS CSM NoS
48 140 160 Null Null Null FS CSM NoS
51 140 160 Null Null Null FS CSM NoS
54 140 160 Null Null Null FS CSM NoS
57 140 160 Null Null Null FS CSM NoS
60 140 160 Null Null Null FS CSM NoS
63 140 160 Null Null Null FS CSM NoS
66 140 160 Null Null Null FS CSM NoS
69 140 160 Null Null Null FS CSM NoS
72 140 160 Null Null Null FS CSM NoS
75 140 160 Null Null Null FS CSM NoS
78 140 160 Null Null Null FS CSM NoS
81 140 160 Null Null Null FS CSM NoS
84 140 160 Null Null Null FS CSM NoS
87 140 160 Null Null Null FS CSM NoS
90 140 160 Null Null Null FS CSM NoS
93 140 160 Null Null Null FS CSM NoS
96 140 160 Null Null Null FS CSM NoS
99 140 160 Null Null Null FS CSM NoS
102 140 160 Null Null Null FS CSM NoS
105 140 160 Null Null Null FS CSM NoS
108 140 160 Null Null Null FS CSM NoS
111 140 160 Null Null Null FS CSM NoS
114 140 160 Null Null Null FS CSM NoS
117 140 160 Null Null Null FS CSM NoS
120 140 160 Null Null Null FS CSM NoS
123 140 160 Null Null Null FS CSM NoS
126 140 160 Null Null Null FS CSM NoS
129 140 160 Null Null Null FS CSM NoS
132 140 160 Null Null Null FS CSM NoS
135 140 160 Null Null Null FS CSM NoS
138 140 160 Null Null Null FS CSM NoS
141 140 160 Null Null Null FS CSM WaS
144 140 160 Null Null Null FS CSM WaS
147 140 160 Null Null Null FS CSM WaS
150 140 160 Null Null Null FS CSM WaS
153 140 160 Null Null Null FS CSM WaS
156 140 160 Null Null Null FS CSM WaS
159 140 160 Null Null Null FS CSM WaS
162 140 160 Null Null Null FS CSM IntS
165 140 160 Null Null Null FS CSM IntS
168 140 160 Null Null Null FS CSM IntS
171 140 160 Null Null Null FS CSM IntS
174 140 160 Null Null Null FS CSM IntS
177 140 160 Null Null Null FS CSM IntS
177 140 160 Null Null Null FS CSM IntS
177 140 160 Null Null Null FS CSM IntS
177 140 160 Null Null Null FS CSM IntS
165 140 160 Null Null Null FS CSM IntS
153 140 160 Null Null Null FS CSM IntS
141 140 160 Null Null Null FS CSM IntS
129 140 160 Null Null Null FS CSM NoS
117 140 160 Null Null Null FS CSM NoS
105 140 160 Null Null Null FS CSM NoS
93 140 160 Null Null Null FS CSM NoS
81 140 160 Null Null Null FS CSM NoS
69 140 160 Null Null Null FS CSM NoS
57 140 160 Null Null Null FS CSM NoS
45 140 160 Null Null Null FS CSM NoS
33 140 160 Null Null Null FS CSM NoS
21 140 160 Null Null Null FS CSM NoS
9 140 160 Null Null Null FS CSM NoS
0 140 160 Null Null Null FS CSM NoS
